STATE,BASE_STATE_PRC_HUNTING,BASE_STATE_PRC_HUNTING_OVER_100_ACRES
Illinois,29,29
Oregon,10,22
Iowa,35,35
Mississippi,10,22
Wyoming,10,22
Arkansas,11,23
Pennsylvania,16,28
South Carolina,15,27
Michigan,21,33
Connecticut,10,22
New Hampshire,10,22
Virginia,16,28
Nebraska,10,22
Georgia,15,27
Hawaii,10,22
Arizona,10,22
Tennessee,10,22
Vermont,10,22
California,10,22
New Jersey,10,22
New York,19,31
Minnesota,20,32
Massachusetts,10,22
Missouri,29,29
Maine,10,22
Oklahoma,13,25
Kansas,29,29
Ohio,32,32
Wisconsin,29,29
Washington,10,22
New Mexico,10,22
West Virginia,11,23
North Carolina,12,24
North Dakota,10,22
Indiana,19,31
Alaska,10,22
Texas,10,22
Delaware,10,22
Rhode Island,10,22
Utah,10,22
Montana,10,22
South Dakota,10,22
Maryland,17,29
Alabama,10,22
Idaho,10,22
Louisiana,10,22
Nevada,10,22
Kentucky,29,29
Florida,10,22
Colorado,10,22
