STATE,STATE_PRC_PER_ACRE
Alabama,10
Arkansas,11
Georgia,15
Illinois,25
Indiana,19
Iowa,35
Kansas,9
Kentucky,14
Louisiana,9
Maryland,17
Michigan,21
Minnesota,20
Mississippi,10
Missouri,25
Nebraska,5
New York,19
North Carolina,12
Ohio,28.5
Oklahoma,13
Pennsylvania,16
South Carolina,15
South Dakota,5
Tennessee,8.5
Virginia,16
West Virginia,11
Wisconsin,24
Alaska,10
Arizona,10
California,10
Colorado,10
Connecticut,10
Delaware,10
Florida,10
Hawaii,10
Idaho,10
Maine,10
Massachusetts,10
Montana,10
Nevada,10
New Hampshire,10
New Jersey,10
New Mexico,10
North Dakota,10
Oregon,10
Rhode Island,10
Texas,10
Utah,10
Vermont,10
Washington,10
Wyoming,10
