,ACTIVITY_TYPE,BASE_STATE_PRC_HUNTING,BASE_STATE_PRC_HUNTING_OVER_100_ACRES,STATE,ACREAGE,DURATION_days,DAILY_PRICE_BASE,TOTAL_ANNUAL_PRICE,FINAL_PRICE,final_price_less_20_acres,final_price_20_100_acres,final_price_100_plus_acres
5,HUNTING,16.0,28.0,Pennsylvania,761,113,16.396922210726395,5984.876606915133,1852.8522098120825,,,859.9300000000001
9,HUNTING,10.0,22.0,Delaware,398,20,10.510995949082147,3836.5135214149836,210.21991898164293,,,302.47999999999996
11,HUNTING,10.0,22.0,Oregon,906,101,15.858657929912042,5788.410144417895,1601.7244509211162,,,915.0600000000001
14,HUNTING,10.0,22.0,New Hampshire,272,340,8.689339877680684,3171.6090553534495,2954.3755584114324,,,369.92
18,HUNTING,10.0,22.0,Massachusetts,952,141,16.256266369756652,5933.537224961178,2292.133558135688,,,536.928
19,HUNTING,16.0,28.0,Virginia,902,65,17.851440910423587,6515.775932304609,1160.3436591775333,,,586.3
24,HUNTING,12.0,24.0,North Carolina,450,58,11.673547908546407,4260.844986619439,677.0657786956916,,,522.0
31,HUNTING,10.0,22.0,Montana,300,267,9.125632180549983,3330.855745900744,2436.5437922068454,,,320.4
33,HUNTING,10.0,22.0,Utah,725,122,14.186371741175853,5178.025685529186,1730.737352423454,,,353.8
43,HUNTING,29.0,29.0,Kentucky,431,11,12.558235596255109,4583.755992633115,138.1405915588062,,,180.15800000000002
54,HUNTING,10.0,22.0,South Dakota,676,255,13.698584109511716,4999.983199971776,3493.1389479254876,,,689.5200000000001
67,HUNTING,10.0,22.0,Maine,385,68,10.337908821010085,3773.336719668681,702.9777998286858,,,261.8
71,HUNTING,10.0,22.0,Montana,516,230,11.968154403869704,4368.376357412442,2752.6755128900318,,,474.72
84,HUNTING,10.0,22.0,California,812,32,15.013444653386268,5479.907298485988,480.43022890836056,,,519.6800000000001
90,HUNTING,15.0,27.0,South Carolina,853,260,17.046977578113246,6222.146816011335,4432.214170309444,,,887.12
92,HUNTING,10.0,22.0,Colorado,461,239,11.31234900484891,4129.007386769852,2703.6514121588893,,,440.716
113,HUNTING,10.0,22.0,Colorado,436,203,11.001339757030292,4015.489011316057,2233.2719706771495,,,354.032
115,HUNTING,10.0,22.0,Alabama,483,34,11.579129152852989,4226.382140791341,393.69039119700165,,,328.44
134,HUNTING,10.0,22.0,Connecticut,487,9,11.626976997814715,4243.846604202371,104.64279298033244,,,175.32
145,HUNTING,19.0,31.0,Indiana,397,149,12.461407341137232,4548.41367951509,1856.7496938294476,,,236.61200000000002
163,HUNTING,10.0,22.0,Hawaii,700,140,13.939633410565072,5087.966194856252,1951.5486774791102,,,392.00000000000006
167,HUNTING,17.0,29.0,Maryland,252,320,9.602631465201785,3504.9604847986516,3072.842068864571,,,322.56
176,HUNTING,10.0,22.0,New Jersey,356,182,9.940937232694148,3628.442089933364,1809.250576350335,,,259.168
184,HUNTING,10.0,22.0,Washington,645,362,13.380803406133067,4883.993243238569,4843.85083302017,,,933.96
186,HUNTING,10.0,22.0,Mississippi,200,274,7.45104747422309,2719.632328091428,2041.5870079371266,,,219.20000000000002
192,HUNTING,12.0,24.0,North Carolina,931,48,16.790802511413624,6128.642916665973,805.9585205478539,,,893.76
201,HUNTING,10.0,22.0,Montana,122,85,5.819454112071598,2124.1007509061333,494.6535995260858,,,103.7
204,HUNTING,20.0,32.0,Minnesota,546,68,14.847806626108284,5419.449418529523,1009.6508505753633,,,371.28
210,HUNTING,13.0,25.0,Oklahoma,439,59,11.767745211370348,4295.227002150177,694.2969674708505,,,518.02
237,HUNTING,10.0,22.0,Delaware,212,89,7.671322895753631,2800.0328569500753,682.7477377220732,,,188.68
250,HUNTING,10.0,22.0,Connecticut,935,237,16.11046731367887,5880.320569492788,3818.1807533418923,,,886.38
254,HUNTING,10.0,22.0,Colorado,93,339,2.9242645143517354,1067.3565477383834,991.3256703652384,,,126.108
260,HUNTING,10.0,22.0,California,293,59,9.018538068804723,3291.7663951137242,532.0937460594787,,,345.74
261,HUNTING,12.0,24.0,North Carolina,406,307,11.088163722726044,4047.179758795006,3404.0662628768955,,,498.56800000000004
264,HUNTING,15.0,27.0,Georgia,288,352,9.905333863967044,3615.446860347971,3486.6775201163996,,,405.504
265,HUNTING,10.0,22.0,Tennessee,40,334,2.73972602739726,1000.0,915.0684931506848,,2004.0,53.44
277,HUNTING,10.0,22.0,Montana,256,196,8.429897913545672,3076.91273844417,1652.2599910549516,,,200.704
278,HUNTING,29.0,29.0,Kansas,611,153,14.952389318479982,5457.622101245193,2287.7155657274375,,,373.932
280,HUNTING,10.0,22.0,Alabama,576,184,12.644846870318505,4615.369107666254,2326.6518241386048,,,423.93600000000004
300,HUNTING,10.0,22.0,Utah,970,269,16.409229904116845,5989.3689150026485,4414.082844207432,,,1043.72
313,HUNTING,10.0,22.0,Wyoming,558,194,12.44570297782019,4542.681586904369,2414.466377697117,,,433.00800000000004
318,HUNTING,10.0,22.0,Oregon,923,162,16.006750780758967,5842.464034977023,2593.0936264829525,,,598.104
320,HUNTING,11.0,23.0,West Virginia,831,301,15.529426664003617,5668.240732361321,4674.357425865089,,,1000.5240000000001
325,HUNTING,10.0,22.0,New Jersey,77,239,2.73972602739726,1000.0,654.7945205479451,,1434.0,73.612
339,HUNTING,10.0,22.0,Maine,378,344,10.24349671720105,3738.876301778383,3523.7628707171607,,,520.128
343,HUNTING,10.0,22.0,Utah,900,300,15.806058587898132,5769.211384582818,4741.81757636944,,,1080.0
352,HUNTING,35.0,35.0,Iowa,941,176,20.385427628539553,7440.681084416937,3587.835262622961,,,662.464
356,HUNTING,10.0,22.0,Massachusetts,746,257,14.390362906037534,5252.4824607037,3698.323266851646,,,766.888
377,HUNTING,10.0,22.0,Louisiana,425,145,10.861674847100856,3964.511319191812,1574.9428528296241,,,246.5
378,HUNTING,10.0,22.0,Texas,26,293,2.73972602739726,1000.0,802.7397260273972,,1758.0,30.472
396,HUNTING,10.0,22.0,New Mexico,612,245,13.034009816521024,4757.413583030174,3193.332405047651,,,599.76
402,HUNTING,10.0,22.0,Mississippi,101,324,5.294964095617531,1932.661894900399,1715.56836698008,,,130.89600000000002
417,HUNTING,10.0,22.0,Nevada,105,155,5.398796805135502,1970.5608338744582,836.8135047960028,,,65.1
426,HUNTING,10.0,22.0,Arizona,695,250,13.88975978587693,5069.762321845079,3472.4399464692324,,,695.0000000000001
427,HUNTING,10.0,22.0,Florida,86,270,2.8120588517892124,1026.4014809030625,759.2558899830874,,,92.88000000000001
434,HUNTING,10.0,22.0,Louisiana,826,157,15.142317786676898,5526.945992137068,2377.343892508273,,,518.7280000000001
442,HUNTING,17.0,29.0,Maryland,449,341,12.817790285188922,4678.493454093957,4370.866487249423,,,612.436
445,HUNTING,11.0,23.0,West Virginia,21,149,2.73972602739726,1000.0,408.2191780821918,,894.0,12.516
452,HUNTING,10.0,22.0,Wyoming,892,128,15.735652631700512,5743.513210570687,2014.1635368576656,,,456.704
463,HUNTING,29.0,29.0,Missouri,500,227,13.52617473234203,4937.053777304841,3070.441664241641,,,454.0
468,HUNTING,10.0,22.0,Vermont,219,125,7.796943552900924,2845.884396808837,974.6179441126155,,,109.5
469,HUNTING,29.0,29.0,Kansas,154,347,7.506722326693134,2739.953649242994,2604.8326473625175,,,213.752
487,HUNTING,29.0,29.0,Kentucky,855,166,17.687768625285667,6456.035548229269,2936.1695917974207,,,567.72
493,HUNTING,32.0,32.0,Ohio,593,13,15.47366991050137,5647.889517333,201.1577088365178,,,292.942
495,HUNTING,10.0,22.0,Alabama,205,184,7.543610619239599,2753.4178760224536,1388.0243539400863,,,150.88000000000002
